latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.45576,-121.93266,298.7,0.38,0.58,1/4/20,1042,1,VIIRS,n,2.0NRT,276.9,0.2,N
37.3175,-122.09219,295.9,0.37,0.58,1/4/20,1042,1,VIIRS,n,2.0NRT,280.4,0.5,N
37.31704,-122.09343,301.3,0.42,0.45,1/5/20,1024,1,VIIRS,n,2.0NRT,280.6,0.9,N
37.31878,-122.09222,296,0.41,0.37,1/6/20,1006,1,VIIRS,n,2.0NRT,280,0.8,N
37.45645,-121.93143,305.3,0.41,0.37,1/6/20,1006,1,VIIRS,n,2.0NRT,276.6,0.9,N
37.18483,-121.67795,296.7,0.41,0.37,1/7/20,948,1,VIIRS,n,2.0NRT,276.9,0.8,N
37.45734,-121.93303,302.8,0.41,0.37,1/7/20,948,1,VIIRS,n,2.0NRT,275.9,0.6,N
37.31814,-122.09075,302.4,0.42,0.37,1/7/20,948,1,VIIRS,n,2.0NRT,280.1,1,N
37.18447,-121.68083,298.7,0.41,0.37,1/7/20,948,1,VIIRS,n,2.0NRT,276.2,0.8,N
37.31736,-122.08982,302,0.39,0.36,1/12/20,954,1,VIIRS,n,2.0NRT,274.3,0.5,N
37.18439,-121.68135,295.3,0.39,0.36,1/12/20,954,1,VIIRS,n,2.0NRT,272.5,0.6,N
37.45582,-121.93322,295.8,0.39,0.36,1/17/20,1000,1,VIIRS,n,2.0NRT,268.3,0.5,N
37.31759,-122.09105,296.6,0.39,0.36,1/17/20,1000,1,VIIRS,n,2.0NRT,270.1,0.8,N
37.18606,-121.68154,295.3,0.41,0.37,1/23/20,948,1,VIIRS,n,2.0NRT,277.9,0.4,N
37.21291,-121.90198,295.2,0.41,0.37,1/23/20,948,1,VIIRS,n,2.0NRT,278.9,0.4,N
37.45489,-121.93222,308.8,0.41,0.37,1/23/20,948,1,VIIRS,n,2.0NRT,277.4,0.9,N
37.45472,-121.93106,298.1,0.44,0.46,1/24/20,930,1,VIIRS,n,2.0NRT,280.4,0.4,N
37.18626,-121.67877,296.8,0.42,0.45,1/24/20,930,1,VIIRS,n,2.0NRT,279.6,0.4,N
37.18361,-121.68165,299.2,0.47,0.4,1/27/20,1012,1,VIIRS,n,2.0NRT,277.7,0.3,N
